0, 0, 0, 0, 0, 0.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0
0, 0.13, 0, 0.11, 0, 0, 0, 0.05, 0, 0.14, 0, 0.06, 0, 0.07, 0, 0, 0, 0.08, 0, 0.24, -1.0
0, 0, 0, 0, 0, 0.12, 0, 0, 0, 0, 0, 0.06, 0, 0.07, 0, 0, 0, 0, 0, 0.24, -1.0
0, 0.13, 0, 0.11, 0, 0, 0, 0.05, 0, 0.14, 0, 0.06, 0, 0, 0, 0, 0, 0.08, 0, 0.24, -1.0
0, 0.13, 0, 0.11, 0, 0, 0, 0.05, 0, 0.14, 0, 0.06, 0, 0.07, 0, 0, 0, 0.08, 0, 0.24, -1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0
0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0.14, 0, 0.06, 0, 0, 0, 0, 0, 0.08, 0, 0.24, -1.0
0, 0, 0, 0.11, 0, 0.12, 0, 0, 0, 0.14, 0, 0, 0, 0.07, 0, 0.09, 0, 0.08, 0, 0.24, -1.0
0, 0, 0, 0.11, 0, 0.12, 0, 0, 0, 0, 0, 0.06, 0, 0.07, 0, 0, 0, 0.08, 0, 0.24, -1.0
0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07, 0, 0, 0, 0, 0, 0.24, -1.0
0, 0, 0, 0.11, 0, 0.12, 0, 0, 0, 0.14, 0, 0.06, 0, 0.07, 0, 0, 0, 0, 0, 0.24, -1.0
0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 0, 0.06, 0, 0.07, 0, 0, 0, 0, 0, 0.24, -1.0
0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0.14, 0, 0.06, 0, 0, 0, 0, 0, 0, 0, 0.24, -1.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.19, 0, 0, 0, 0, 0, 1.0
0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.24, -1.0
0.11, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0.1, 0, 0.19, 0, 0, 0, 0, 0, 1.0
